parameter,base_value,low_value,high_value,unit,notes
electricity_price,0.07,0.04,0.1,USD/kWh,Regional variation ±40%
hydrogen_price,4.00,2.00,6.00,USD/kg,Market volatility scenarios
acetylene_black_price,2.00,1.00,3.00,USD/kg,Grade and market dependent
rng_price,0.16,0.10,0.22,USD/kg,Feedstock cost variation
capex_total,45630071,36504057,54756085,USD,±20% contingency
carbon_conversion,90.0,85.0,95.0,percent,Process performance range
capacity_factor,91.7,85.0,95.0,percent,Operational reliability
discount_rate,15,10,20,percent,Financial assumption range
